"Gene","Insertion.Index","log.likelihood.ratio","essential","non.essential","unclear"
"zraS",0.283261803,22.6895974912011,FALSE,TRUE,FALSE
"zraR",0.2586727,20.6315512531933,FALSE,TRUE,FALSE
"purD",0.248837209,19.7921917067163,FALSE,TRUE,FALSE
"purH",0.269811321,21.5706009715826,FALSE,TRUE,FALSE
"yjaA",0.130208333,8.4770018617022,FALSE,TRUE,FALSE
"yjaB",0.141891892,9.73788627004518,FALSE,TRUE,FALSE
"metA",0.121505376,7.50358951985873,FALSE,TRUE,FALSE
"aceB",0.155430712,11.1431591202438,FALSE,TRUE,FALSE
"aceA",0.203065134,15.7347224286329,FALSE,TRUE,FALSE
"aceK",0.197466897,15.2179980220467,FALSE,TRUE,FALSE
"arpA",0.172839506,12.8772136813373,FALSE,TRUE,FALSE
"iclR",0.35030303,28.0682164393143,FALSE,TRUE,FALSE
"metH",0.229641694,18.1234660869587,FALSE,TRUE,FALSE
"yjbB",0.285539216,22.8775472986483,FALSE,TRUE,FALSE
"pepE",0.307246377,24.6487765866823,FALSE,TRUE,FALSE
"rluF",0.281786942,22.567652812641,FALSE,TRUE,FALSE
"yjbD",0.377289377,30.1585751326515,FALSE,TRUE,FALSE
"lysC",0.295555556,23.6992660197845,FALSE,TRUE,FALSE
"pgi",0.255757576,20.3838059345259,FALSE,TRUE,FALSE
"yjbE",0.46090535,36.4385432194453,FALSE,TRUE,FALSE
"yjbF",0.286384977,22.9472385503924,FALSE,TRUE,FALSE
"yjbG",0.216802168,16.9818978968724,FALSE,TRUE,FALSE
"yjbH",0.236528374,18.7270862424552,FALSE,TRUE,FALSE
"yjbT",0.301075269,24.148809957802,FALSE,TRUE,FALSE
"psiE",0.238442822,18.8938779272691,FALSE,TRUE,FALSE
"xylE",0.402439024,32.0760247063226,FALSE,TRUE,FALSE
"malG",0.269360269,21.5328001883418,FALSE,TRUE,FALSE
"malF",0.251132686,19.9889827785846,FALSE,TRUE,FALSE
"malE",0.249370277,19.8379413915431,FALSE,TRUE,FALSE
"malK",0.222222222,17.466475804331,FALSE,TRUE,FALSE
"lamB",0.240119314,19.0395878086593,FALSE,TRUE,FALSE
"malM",0.312703583,25.0886775926558,FALSE,TRUE,FALSE
"yjbI",0.1600253,11.608178232586,FALSE,TRUE,FALSE
"ubiC",0.174698795,13.0581896172068,FALSE,TRUE,FALSE
"ubiA",0.017182131,-11.6188428377334,TRUE,FALSE,FALSE
"plsB",0.012788779,-13.8326250385971,TRUE,FALSE,FALSE
"dgkA",0.276422764,22.1225886608905,FALSE,TRUE,FALSE
"lexA",0.02134647,-9.93648452092357,TRUE,FALSE,FALSE
"dinF",0.230434783,18.1932771371773,FALSE,TRUE,FALSE
"yjbJ",0.261904762,20.9052505770479,FALSE,TRUE,FALSE
"zur",0.364341085,29.1601433462008,FALSE,TRUE,FALSE
"yjbL",0.062745098,-0.350693137527296,FALSE,FALSE,TRUE
"yjbM",0.124293785,7.81894327831395,FALSE,TRUE,FALSE
"dusA",0.309248555,24.81040905347,FALSE,TRUE,FALSE
"pspG",0.242798354,19.2717651726547,FALSE,TRUE,FALSE
"qorA",0.257113821,20.4991737705075,FALSE,TRUE,FALSE
"dnaB",0.011299435,-14.7399240775981,TRUE,FALSE,FALSE
"alr",0.22962963,18.1224035547971,FALSE,TRUE,FALSE
"tyrB",0.306532663,24.5910919294286,FALSE,TRUE,FALSE
